City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
318,El Alto,PE,-4.2714,-81.2147,70.38,78,100,12.5,overcast clouds
319,Along,IN,28.1667,94.7667,66.29,42,65,1.79,broken clouds
320,Sorong,ID,-0.8833,131.25,83.23,72,50,3.06,scattered clouds
321,Namuac,PH,18.6109,121.1657,81.81,68,45,6.02,scattered clouds
322,Avera,US,33.194,-82.5271,44.47,74,100,5.75,overcast clouds
323,San Julian,MX,21.0167,-102.1667,56.44,46,68,6.89,broken clouds
324,Iquique,CL,-20.2208,-70.1431,64.44,77,22,1.92,few clouds
325,Tiznit,MA,29.5833,-9.5,59.7,24,0,10.29,clear sky
326,Honiara,SB,-9.4333,159.95,78.3,93,100,10.63,overcast clouds
327,Caxito,AO,-8.5785,13.6643,69.66,96,100,1.99,overcast clouds
328,Touros,BR,-5.1989,-35.4608,76.1,75,42,9.13,scattered clouds
329,Beloha,MG,-25.1667,45.05,80.82,71,100,22.1,overcast clouds
330,Kaputa,ZM,-8.4689,29.6619,67.23,90,99,3.87,light rain
331,Pietarsaari,FI,63.65,22.6833,21.33,95,87,6.85,overcast clouds
332,Sabang,ID,5.8933,95.3214,81.93,71,67,9.73,light rain
333,Camacupa,AO,-12.0167,17.4833,59.74,88,100,3.62,overcast clouds
334,Okha,RU,53.5739,142.9478,13.75,94,100,19.04,light snow
335,Qiongshan,CN,20.0058,110.3542,71.38,84,96,13.87,overcast clouds
336,Janakpur,NP,26.7183,85.9065,66.51,54,0,3.98,clear sky
337,San Jeronimo,PE,-11.9472,-75.2829,49.57,83,92,1.05,overcast clouds
338,Antofagasta,CL,-23.65,-70.4,63.68,76,16,5.66,few clouds
339,Kusti,SD,13.1629,32.6635,65.34,24,59,7.76,broken clouds
340,Sao Joao Da Barra,BR,-21.6403,-41.0511,75.9,89,100,5.7,overcast clouds
341,Iskateley,RU,67.6803,53.1512,4.48,95,94,10.8,overcast clouds
342,Cazanesti,RO,44.6167,27.0167,39.79,65,100,7.58,overcast clouds
